Diet_Plan
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish"
"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese"
